"Transported","Side","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","PassengerGroup"
"False","P","Europa","False","TRAPPIST-1e",39,"False",0.993735461892577,1.00525622008046,0.999949687613789,0.983734521504362,1.01498560230856,"0001"
"True","S","Earth","False","TRAPPIST-1e",24,"False",5.70231679903464,3.2887111672995,4.2582176955425,7.28347994161032,4.82299931046999,"0002"
"False","S","Europa","False","TRAPPIST-1e",58,"True",4.77583334779416,9.18222393549247,0.999978077431784,9.82569372122432,4.90434832816956,"0003"
"False","S","Europa","False","TRAPPIST-1e",33,"False",1.01595280802138,8.14070575537433,6.91892409569558,9.11204285380254,6.25990732225163,"0003"
"True","S","Earth","False","TRAPPIST-1e",16,"False",6.72032277912438,5.26448791829675,6.02381365469865,7.34288848826641,2.10783312143501,"0004"
"True","P","Earth","False","PSO J318.5-22",44,"False",0.99179531615882,7.1742572260977,0.999913793548317,6.67280045397403,0.992442533558949,"0005"
"True","S","Earth","False","TRAPPIST-1e",26,"False",4.76607440621785,8.3433908503198,2.38624375376521,1.00508156824888,1.00493294201054,"0006"
"True","S","Earth","True","TRAPPIST-1e",28,"False",1.00738324705129,1.00100248295539,1.00007653546791,0.984310753780561,1.00956132915407,"0006"
"True","S","Earth","False","TRAPPIST-1e",35,"False",1.00575781351653,7.6703037018613,3.89039153839158,6.37147090646646,0.987220364357486,"0007"
"True","P","Europa","True","55 Cancri e",14,"False",0.996946116128436,1.00278944555114,1.00005560270938,0.992910049921039,1.00390813704317,"0008"
"True","P","Europa","True","TRAPPIST-1e",34,"False",1.01511781168451,1.00504039434202,0.999882563533411,1.01333352099701,1.02602382504299,"0008"
"True","P","Europa","False","55 Cancri e",45,"False",4.69277788647805,9.91076306056222,7.37998192789902,5.70159209236638,5.8256450131235,"0008"
"True","P","Mars","False","TRAPPIST-1e",32,"False",5.29785268739875,1.00213389603541,8.02467400635122,0.980785381975384,5.74343611363549,"0009"
"False","S","Earth","False","TRAPPIST-1e",48,"False",7.55710421313833,1.69026701055322,5.18963682998281,0.992144587900935,4.22109107871996,"0010"
"True","P","Earth","False","TRAPPIST-1e",28,"False",3.20847388651765,7.88407409106264,3.56493885731962,2.10570900315522,3.08487066445103,"0011"
"False","S","Earth","False","TRAPPIST-1e",31,"False",4.49605822537633,0.995915563301923,7.77639028103555,0.996300972649058,1.00866099104788,"0012"
"False","P","Mars","False","55 Cancri e",27,"False",8.15990730496514,5.80728470684629,1.00005609875534,0.989610994520204,1.00049314869342,"0014"
"False","P","Earth","False","55 Cancri e",24,"False",1.00943836210685,1.6608748515105,0.999995758720102,0.991810888736954,7.46071188861624,"0015"
"True","P","Mars","True","TRAPPIST-1e",45,"False",1.00821221195098,1.00363173625811,0.999986865737699,1.01653344901031,0.983020798784776,"0016"
"True","P","Earth","False","TRAPPIST-1e",0,"False",1.00593901321218,0.997834052996739,1.00010310132492,0.993728502251698,1.00047996076844,"0017"
"False","P","Earth","False","55 Cancri e",14,"False",7.03263736667712,0.993313695504522,1.69309796983683,1.00311697629912,7.52378508710986,"0017"
"False","S","Earth","True","TRAPPIST-1e",1,"False",1.00782136300731,1.00039244423521,1.00003301551396,0.995089889000881,1.0239627630157,"0020"
"False","S","Earth","True","55 Cancri e",49,"False",1.00074564983365,1.00438219802346,0.99987778708937,1.0177729081412,0.993259192617503,"0020"
"False","S","Earth","True","55 Cancri e",29,"False",0.980106483041366,0.992596594686589,1.00003301551396,1.00774635059882,1.00160801127422,"0020"
"True","S","Earth","False","TRAPPIST-1e",10,"False",1.00619825747895,0.995811834431294,1.00012921960531,1.01641074264088,0.994404763298798,"0020"
"False","S","Earth","True","PSO J318.5-22",1,"False",1.00237829399628,0.993427110353362,0.999926592039224,1.00737406782738,0.998583991322867,"0020"
"False","S","Earth","False","TRAPPIST-1e",7,"False",0.998442044932947,0.991102077837626,1.00003164689502,0.992131684216947,1.00055732306919,"0020"
"False","P","Mars","False","TRAPPIST-1e",21,"False",7.87386493572637,2.08736604132402,5.24852462361753,0.991629685383377,1.00374424455628,"0022"
"True","S","Europa","True","TRAPPIST-1e",62,"False",0.995218499448914,0.995532527315578,1.00003200881205,0.993043963901873,0.996274828225856,"0024"
"False","S","Earth","False","TRAPPIST-1e",15,"False",1.004179415602,6.42224875870754,1.0001049576596,7.89628941295883,0.999124456829287,"0025"
"False","P","Europa","False","55 Cancri e",34,"False",4.14908101144444,9.72002853030412,0.99998458915355,8.27731441074833,6.80013998170558,"0026"
"False","P","Mars","False","TRAPPIST-1e",43,"False",8.02539893142621,1.00417227446412,5.91990284068038,4.90662294947415,1.00918253908151,"0028"
"False","S","Earth","False","TRAPPIST-1e",32,"False",1.00387671611559,7.74041802426593,5.40662453518184,7.08955509146114,7.0962331366256,"0030"
"True","P","Mars","False","TRAPPIST-1e",47,"False",6.37009997772183,1.01302086560347,8.2526799118134,0.994856105675023,8.1230543648565,"0031"
"True","P","Mars","False","TRAPPIST-1e",2,"False",0.986229404431714,1.00555116072557,0.999811014606361,1.00626453965195,0.991898759412093,"0031"
"True","P","Mars","False","TRAPPIST-1e",20,"False",8.31031697382786,0.997114775290474,8.46782805296476,7.9018645587269,0.989534016802439,"0031"
